id,description,name
1 ,1 - Animals & Pet Supplies,1 - Animals & Pet Supplies
3237 ,3237 - Animals & Pet Supplies > Live Animals,Live Animals
2 ,2 - Animals & Pet Supplies > Pet Supplies,Pet Supplies
3 ,3 - Animals & Pet Supplies > Pet Supplies > Bird Supplies,Bird Supplies
7385 ,7385 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories,Bird Cage Accessories
499954 ,499954 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Bird Baths,Bird Cage Bird Baths
7386 ,7386 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Food & Water Dishes,Bird Cage Food & Water Dishes
4989 ,4989 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cages & Stands,Bird Cages & Stands
4990 ,4990 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Food,Bird Food
7398 ,7398 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Gyms & Playstands,Bird Gyms & Playstands
4991 ,4991 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Ladders & Perches,Bird Ladders & Perches
4992 ,4992 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Toys,Bird Toys
4993 ,4993 - Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Treats,Bird Treats
4 ,4 - Animals & Pet Supplies > Pet Supplies > Cat Supplies,Cat Supplies
5082 ,5082 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Apparel,Cat Apparel
4433 ,4433 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Cat Beds
3367 ,3367 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food,Cat Food
543684 ,543684 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Non-prescription Cat Food,Non-prescription Cat Food
543683 ,543683 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Prescription Cat Food,Prescription Cat Food
4997 ,4997 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture,Cat Furniture
500059 ,500059 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture Accessories,Cat Furniture Accessories
4999 ,4999 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter,Cat Litter
8069 ,8069 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Liners,Cat Litter Box Liners
7142 ,7142 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Mats,Cat Litter Box Mats
5000 ,5000 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Cat Litter Boxes
5001 ,5001 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys,Cat Toys
5002 ,5002 - Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Treats,Cat Treats
5 ,5 - Animals & Pet Supplies > Pet Supplies > Dog Supplies,Dog Supplies
5004 ,5004 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel,Dog Apparel
4434 ,4434 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Beds,Dog Beds
7372 ,7372 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Diaper Pads & Liners,Dog Diaper Pads & Liners
499900 ,499900 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Diapers,Dog Diapers
3530 ,3530 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food,Dog Food
543682 ,543682 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food > Non-prescription Dog Food,Non-prescription Dog Food
543681 ,543681 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food > Prescription Dog Food,Prescription Dog Food
5094 ,5094 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Houses,Dog Houses
7428 ,7428 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennel & Run Accessories,Dog Kennel & Run Accessories
7274 ,7274 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennels & Runs,Dog Kennels & Runs
5010 ,5010 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys,Dog Toys
8123 ,8123 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Treadmills,Dog Treadmills
5011 ,5011 - Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Treats,Dog Treats
6 ,6 - Animals & Pet Supplies > Pet Supplies > Fish Supplies,Fish Supplies
505303 ,505303 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium & Pond Tubing,Aquarium & Pond Tubing
505307 ,505307 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Air Stones & Diffusers,Aquarium Air Stones & Diffusers
500038 ,500038 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Cleaning Supplies,Aquarium Cleaning Supplies
5019 ,5019 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Decor,Aquarium Decor
5020 ,5020 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Filters,Aquarium Filters
505306 ,505306 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Fish Nets,Aquarium Fish Nets
5021 ,5021 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Gravel & Substrates,Aquarium Gravel & Substrates
5079 ,5079 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Lighting,Aquarium Lighting
6951 ,6951 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Overflow Boxes,Aquarium Overflow Boxes
5023 ,5023 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Stands,Aquarium Stands
500062 ,500062 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Temperature Controllers,Aquarium Temperature Controllers
5161 ,5161 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Water Treatments,Aquarium Water Treatments
3238 ,3238 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquariums,Aquariums
6085 ,6085 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquatic Plant Fertilizers,Aquatic Plant Fertilizers
6403 ,6403 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Fish Feeders,Fish Feeders
5024 ,5024 - Animals & Pet Supplies > Pet Supplies > Fish Supplies > Fish Food,Fish Food
6983 ,6983 - Animals & Pet Supplies > Pet Supplies > Pet Agility Equipment,Pet Agility Equipment
6811 ,6811 - Animals & Pet Supplies > Pet Supplies > Pet Apparel Hangers,Pet Apparel Hangers
500084 ,500084 - Animals & Pet Supplies > Pet Supplies > Pet Bed Accessories,Pet Bed Accessories
5092 ,5092 - Animals & Pet Supplies > Pet Supplies > Pet Bells & Charms,Pet Bells & Charms
6978 ,6978 - Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors,Pet Biometric Monitors
6980 ,6980 - Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Glucose Meters,Pet Glucose Meters
6982 ,6982 - Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Pedometers,Pet Pedometers
6981 ,6981 - Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Thermometers,Pet Thermometers
7143 ,7143 - Animals & Pet Supplies > Pet Supplies > Pet Bowl Mats,Pet Bowl Mats
8513 ,8513 - Animals & Pet Supplies > Pet Supplies > Pet Bowl Stands,Pet Bowl Stands
6252 ,"6252 - Animals & Pet Supplies > Pet Supplies > Pet Bowls, Feeders & Waterers","Pet Bowls, Feeders & Waterers"
500026 ,500026 - Animals & Pet Supplies > Pet Supplies > Pet Carrier & Crate Accessories,Pet Carrier & Crate Accessories
